Ship Mode,Shipping Cost,Sales
Regular Air,1.99,118.57
Regular Air,9.4,79.47
Regular Air,8.99,627.28
Regular Air,5.92,1160.42
Regular Air,10.49,103.37
Regular Air,4.86,40.22
Regular Air,4.97,52.43
Regular Air,6.5,818.49
Regular Air,49,410.17
Regular Air,4.98,269.54
Regular Air,5.67,106.57
Regular Air,0.95,38.41
Regular Air,2.06,131.34
Regular Air,11.17,251.61
Regular Air,7.51,287.99
Regular Air,1.97,46.86
Regular Air,14.3,658.62
Regular Air,2.03,21.96
Regular Air,3.97,24.57
Regular Air,8.99,1008.53
Delivery Truck,44.55,6968.9
Regular Air,1.32,41.29
Express Air,2.83,88.64
Express Air,4,1300.54
Regular Air,0.7,38.06
Delivery Truck,14,1263.35
Regular Air,2.89,202.38
Regular Air,8.51,56.38
Express Air,4.78,119.13
Regular Air,2.89,809.51
Regular Air,3.77,643.64
Regular Air,8.51,244.31
Express Air,4.78,466.58
Express Air,8.99,2290.69
Express Air,19.99,337.59
Regular Air,4.39,10.65
Regular Air,0.96,55.13
Delivery Truck,57.38,215.32
Regular Air,0.99,382.85
Regular Air,5.46,44.8
Regular Air,6.05,100.99
Regular Air,4,142.06
Express Air,5.16,58.52
Regular Air,10.55,363.74
Regular Air,6.83,15.93
Regular Air,17.78,21.28
Express Air,8.99,675.83
Regular Air,5.46,28
Regular Air,2.99,535.08
Regular Air,1.1,222.71
Regular Air,2.5,220.52
Express Air,5.14,68.34
Regular Air,4,522.22
Regular Air,1.49,28.01
Regular Air,7.96,80.35
Regular Air,19.99,99.69
Regular Air,8.18,152.49
Regular Air,4.9,320.75
Regular Air,5.67,11.35
Delivery Truck,14.7,7029.1
Regular Air,35,1059.38
Delivery Truck,29.2,2233.46
Delivery Truck,26.2,928.92
Delivery Truck,164.73,3845.35
Regular Air,0.96,3.77
Regular Air,1.39,343.54
Regular Air,19.99,3627.08
Regular Air,1.39,8.34
Regular Air,6.27,63.32
Regular Air,5.99,83.72
Regular Air,8.99,1011.44
Regular Air,8.99,132.23
Regular Air,3.63,210.33
Express Air,5.75,168.04
Regular Air,8.99,882.93
Delivery Truck,66.67,1757.15
Regular Air,19.99,1786.04
Regular Air,1.63,34.76
Delivery Truck,30,561.65
Express Air,4.62,413.73
Regular Air,49,55.6
Regular Air,13.99,2099.61
Express Air,2,96.6
Express Air,4,558.17
Regular Air,8.37,8.39
Regular Air,13.99,559.43
Delivery Truck,70.2,1216.52
Regular Air,56.2,1058.36
Regular Air,5.35,18.31
Delivery Truck,110.2,4935.22
Regular Air,4.91,51.03
Regular Air,6.5,746.91
Regular Air,4,77.47
Express Air,6.5,204.34
Regular Air,14.39,206.04
Regular Air,11.59,475.42
Regular Air,5.79,3598.82
Regular Air,4.91,41.22
Regular Air,5.79,875.39
Regular Air,4.91,8.24
Express Air,13.99,641.11
Regular Air,5.72,35.48
Delivery Truck,39,2130.04
Express Air,9.4,82.8
Regular Air,6.32,99.02
Regular Air,1.39,46.4
Delivery Truck,46.74,551.51
Regular Air,2.36,142.79
Regular Air,17.48,585.08
Regular Air,3.3,72.75
Regular Air,5.53,269.33
Regular Air,8.78,377
Express Air,5.03,42.99
Regular Air,21.2,65.69
Delivery Truck,58.92,2748.21
Regular Air,8.68,93.19
Regular Air,6.5,363.37
Regular Air,19.99,480.75
Regular Air,1.29,16.88
Regular Air,5.86,925.19
Regular Air,8.99,408.66
Regular Air,1.99,122.93
Regular Air,12.98,32.66
Regular Air,4.99,14.85
Regular Air,5.41,45
Regular Air,24.49,6569.07
Regular Air,5.37,88.22
Regular Air,2.89,40.29
Regular Air,1.99,151.27
Regular Air,0.5,10.51
Regular Air,7.49,74.93
Delivery Truck,58.64,1370.99
Regular Air,7.11,1913.84
Regular Air,4.2,2692.12
Regular Air,4.86,762.38
Regular Air,0.76,36.72
Regular Air,14.52,305.71
Regular Air,17.48,277.12
Regular Air,2.5,100.11
Regular Air,5.68,31.54
Delivery Truck,85.63,4634.69
Delivery Truck,110.2,7304.03
Regular Air,8.99,632.65
Regular Air,1.99,290.98
Regular Air,0.7,21.77
Regular Air,1.99,384.22
Regular Air,2.5,31.64
Express Air,1.1,565.36
Regular Air,5.46,32.76
Regular Air,1.99,336.92
Regular Air,4.82,114.91
Regular Air,7.69,934.52
Delivery Truck,60.2,260.66
Regular Air,19.99,4249.37
Delivery Truck,48.8,6676.61
Regular Air,7.18,291.4
Regular Air,11.52,146.5
Express Air,4.81,38.98
Regular Air,5.41,34.16
Regular Air,6.5,120.34
Regular Air,5.99,153.61
Regular Air,1.99,1414.88
Regular Air,0.99,33.63
Express Air,5.92,1063.81
Regular Air,1.79,242.7
Delivery Truck,41.91,3377.06
Regular Air,7.94,123.93
Express Air,7.5,93.96
Delivery Truck,48.8,1818.41
Regular Air,0.7,8.95
Regular Air,4.5,652.84
Regular Air,24.49,12750.99
Express Air,2.97,20.54
Delivery Truck,42.52,7840.04
Regular Air,7.18,1094.33
Regular Air,3.04,389.97
Regular Air,3.5,84.59
Delivery Truck,12.06,9666.72
Regular Air,5.74,134.58
Regular Air,5.74,33.65
Regular Air,1.5,66.12
Regular Air,0.49,3.07
Delivery Truck,28.16,255.83
Delivery Truck,53.03,421.18
Delivery Truck,74.35,1377.46
Regular Air,24.49,6600.63
Regular Air,8.8,1811.99
Delivery Truck,33.6,799.76
Regular Air,1.99,609.09
Delivery Truck,51.94,2761.94
Regular Air,5.14,33.95
Delivery Truck,66.27,302.34
Express Air,8.65,334.44
Regular Air,8.59,556.61
Regular Air,1.6,64.48
Delivery Truck,29.7,4845.27
Regular Air,7.46,19.68
Delivery Truck,49,9798.84
Express Air,5.53,154.11
Regular Air,8.22,242.97
Regular Air,4.96,200.61
Regular Air,14.39,237.83
Regular Air,35,53.02
Delivery Truck,43.32,248.84
Regular Air,5.01,7.21
Regular Air,52.2,253.87
Delivery Truck,14.7,5880.46
Regular Air,3.92,577.25
Delivery Truck,18.06,4075.18
Delivery Truck,54.12,1798.23
Regular Air,8.74,727.2
Delivery Truck,60,6173.42
Regular Air,5,1553.7
Regular Air,7.57,18.68
Regular Air,3.97,36.3
Regular Air,0.97,16.03
Regular Air,0.96,25.35
Regular Air,0.7,19.32
Regular Air,12.39,86.8
Regular Air,12.39,381.91
Regular Air,7.78,761.67
Regular Air,4.23,5014.07
Regular Air,7.78,186.19
Regular Air,4.23,1227.94
Regular Air,4,294.97
Regular Air,19.99,2458.05
Regular Air,19.99,2465.75
Regular Air,7.18,650.25
Regular Air,4.95,272.12
Regular Air,4.08,428.85
Delivery Truck,53.03,342.54
Regular Air,13.56,27.96
Delivery Truck,30,1635.38
Regular Air,0.5,58.48
Regular Air,0.8,40.05
Delivery Truck,17.85,1117.66
Delivery Truck,12.06,807
Delivery Truck,19.19,169.46
Delivery Truck,154.12,5768.12
Regular Air,1.99,55.25
Regular Air,5.99,551.22
Regular Air,1.6,83.93
Express Air,35,193.88
Express Air,24.49,990.25
Regular Air,3.97,14.76
Regular Air,11.25,808.44
Regular Air,5.14,67.41
Regular Air,5.3,55.08
Delivery Truck,42,1608.11
Express Air,5.5,99.75
Regular Air,5.33,51.41
Regular Air,0.5,68.72
Regular Air,5.97,618.96
Regular Air,5.46,77.54
Express Air,4.5,361.72
Delivery Truck,30,1373.47
Regular Air,6.93,91.92
Express Air,1.39,73.29
Delivery Truck,48.26,2961.32
Regular Air,0.49,87.11
Regular Air,0.99,170.46
Regular Air,0.49,4.95
Delivery Truck,14,461.24
Regular Air,0.99,577.75
Regular Air,6.28,59.4
Regular Air,7.86,66.46
Regular Air,6.12,35.35
Regular Air,1.39,248.21
Delivery Truck,66.67,4086.5
Regular Air,6.32,375.03
Regular Air,2.58,22.11
Regular Air,2.5,2875.35
Express Air,7.42,78.08
Regular Air,3.99,2013.88
Regular Air,5,201.32
Delivery Truck,15.68,298.51
Regular Air,8.99,3846.06
Express Air,2.5,35.93
Regular Air,2.5,1610.84
Regular Air,5.79,86.12
Regular Air,6.96,76.87
Express Air,9.47,374.6
Regular Air,0.5,61.87
Regular Air,11.15,48.88
Regular Air,6.93,21.56
Regular Air,9.03,164.67
Regular Air,4.86,72.74
Express Air,7.73,418.75
Regular Air,19.99,469.59
Regular Air,4,136.25
Regular Air,4.62,558.41
Regular Air,5.94,290.22
Regular Air,7.18,1129.67
Delivery Truck,50,2439.37
Regular Air,0.49,92.02
Delivery Truck,43.75,283.55
Delivery Truck,50,9757.48
Delivery Truck,43.75,850.64
Regular Air,19.99,1159.79
Regular Air,7.29,20.22
Regular Air,19.99,1548.97
Delivery Truck,60,337.86
Regular Air,8.99,84.21
Express Air,4.62,38.74
Regular Air,1.49,134.09
Delivery Truck,26.2,191.73
Regular Air,12.23,618.85
Regular Air,13.32,115.99
Regular Air,1.25,19.46
Regular Air,0.94,44.75
Regular Air,5.33,9.23
Regular Air,2.99,96.13
Regular Air,6.97,73.96
Delivery Truck,23.76,1805.9
Delivery Truck,29.21,311.41
Delivery Truck,14.7,3707.05
Delivery Truck,69.64,2805.18
Regular Air,7.49,80.86
Regular Air,9.71,1096.63
Regular Air,4.2,632.12
Regular Air,69,1302.98
Regular Air,0.96,131.79
Regular Air,0.99,35.33
Regular Air,19.99,674.55
Delivery Truck,43.75,1721.24
Regular Air,7.87,668.38
Regular Air,8.99,324.62
Regular Air,2.56,40.93
Regular Air,1.77,53.42
Regular Air,1.99,8.49
Regular Air,5.92,69.89
Regular Air,5.79,77.42
Regular Air,0.7,7.2
Regular Air,3.97,61.29
Regular Air,9.69,109.15
Regular Air,19.99,1477.84
Regular Air,0.85,29.08
Delivery Truck,60,1162.46
Regular Air,0.85,109.86
Regular Air,19.99,5911.35
Delivery Truck,60,4649.85
Delivery Truck,30,2259.99
Regular Air,2.39,42.46
Regular Air,8.23,314.06
Regular Air,13.99,1009.99
Express Air,5.14,92.16
Regular Air,7.91,16.5
Regular Air,10.12,1202.66
Regular Air,5.63,196.69
Regular Air,1.49,40.28
Regular Air,4.5,904.31
Regular Air,5.83,96.86
Regular Air,3.99,765.65
Regular Air,0.7,8.72
Regular Air,24.49,6355.69
Regular Air,1.25,28.09
Regular Air,11.79,1130.15
Regular Air,4.71,54.37
Regular Air,2.15,100.87
Delivery Truck,43.71,1857.08
Express Air,7.01,42.56
Regular Air,7.18,414.91
Regular Air,3.92,91.39
Regular Air,49,202.29
Regular Air,8.99,168.71
Regular Air,19.99,885.65
Regular Air,2.99,152.05
Regular Air,2.35,49.1
Regular Air,4.2,246.44
Regular Air,5.6,199.08
Regular Air,7.07,2039.07
Regular Air,7.07,436.94
Express Air,7.78,37.38
Regular Air,5.6,47.4
Delivery Truck,14,260
Regular Air,14.48,709.7
Regular Air,5.14,27.42
Regular Air,1.49,739.06
Regular Air,5.2,30.47
Regular Air,7.03,96.96
Regular Air,1.17,4.21
Express Air,24.49,3550.28
Regular Air,19.99,1188.63
Express Air,39.61,1009.93
Regular Air,9.73,140.7
Regular Air,8.73,15.95
Regular Air,4.59,42.35
Regular Air,8.73,63.78
Regular Air,1.09,451.61
Express Air,4.08,10.41
Delivery Truck,32.48,2849.64
Regular Air,5.36,38.04
Regular Air,0.99,42.53
Regular Air,1.49,14.77
Express Air,5.5,438.33
Regular Air,5.02,38.11
Express Air,1.49,169.46
Regular Air,8.99,724.57
Express Air,0.5,51.13
Express Air,5.74,79.61
Regular Air,7.91,109.99
Regular Air,8.64,900.12
Regular Air,69,237.62
Express Air,8.99,176.42
Delivery Truck,30,2084.16
Regular Air,0.99,43.41
Regular Air,1.25,46.42
Express Air,24.49,1140.95
Regular Air,0.5,42.69
Regular Air,6.17,327.41
Delivery Truck,14.7,3786.84
Regular Air,19.99,2012.11
Regular Air,8.8,471.66
Delivery Truck,40.19,662.8
Express Air,1.99,119.86
Delivery Truck,40.19,2651.21
Regular Air,0.94,38.96
Regular Air,19.99,8048.45
Regular Air,8.8,1939.03
Express Air,1.99,457.63
Regular Air,0.5,170.75
Regular Air,6.17,1339.42
Regular Air,0.94,8.66
Delivery Truck,58.92,10554.63
Delivery Truck,69.64,1749.64
Regular Air,5.41,355.4
Regular Air,1.57,148.36
Delivery Truck,58.92,2814.57
Regular Air,5.41,88.85
Regular Air,12.98,70.82
Express Air,6.35,90.44
Regular Air,8.74,10.72
Express Air,24.49,10180.01
Regular Air,8.49,42.44
Regular Air,9.18,462.57
Regular Air,9.54,125.37
Regular Air,4.96,190.85
Regular Air,8.74,370.68
Regular Air,4.99,2400.95
Delivery Truck,14.7,7303.05
Regular Air,6.05,58.05
Regular Air,8.99,68.64
Regular Air,6.5,277.07
Regular Air,1.3,51.99
Regular Air,3.3,149.67
Regular Air,0.5,61.1
Regular Air,19.99,193.81
Regular Air,3.73,257.48
Regular Air,4.2,3194.99
Express Air,19.99,202.98
Regular Air,9.54,10.86
Regular Air,0.99,1477.57
Express Air,9.18,382.29
Regular Air,8.99,881.74
Delivery Truck,110.2,7384.18
Regular Air,1.67,448.26
Express Air,9.18,95.57
Regular Air,8.99,214.48
Delivery Truck,110.2,1790.1
Regular Air,1.67,110.68
Regular Air,0.99,385.45
Regular Air,7.17,19.32
Regular Air,2.4,30.1
Regular Air,1.49,261.21
Regular Air,0.5,42.79
Delivery Truck,30,1828.22
Regular Air,5.26,29.77
Regular Air,2.85,147.19
Regular Air,1.49,39.17
Regular Air,5.15,87.85
Delivery Truck,56,7429.63
Regular Air,5.16,224.29
Regular Air,3.68,51.2
Delivery Truck,56,29718.53
Regular Air,3.68,197.48
Regular Air,6.19,46.85
Regular Air,1.63,93.57
Delivery Truck,41.64,2694.49
Delivery Truck,52.2,174.5
Regular Air,4.86,26.01
Delivery Truck,14.7,1527.97
Regular Air,3.01,110.86
Regular Air,0.5,97.98
Express Air,6.57,127.83
Regular Air,8.99,289.88
Regular Air,19.99,4354.55
Regular Air,0.99,146.17
Regular Air,5.3,42.02
Regular Air,4.2,3705.14
Delivery Truck,18.06,945.36
Regular Air,7.78,49.24
Express Air,13.66,68.45
Regular Air,2.4,44.75
Regular Air,49,40.69
Regular Air,1.39,130.11
Regular Air,2.5,337.34
Regular Air,2.36,280.43
Express Air,0.71,103.39
Regular Air,7.69,435.39
Regular Air,3.99,1051.52
Express Air,0.71,25.85
Regular Air,8.99,119.37
Regular Air,3.99,257.92
Express Air,8.99,207.22
Regular Air,2.99,237.8
Express Air,19.99,448.47
Regular Air,11.54,1000.26
Regular Air,21.21,2184.99
Delivery Truck,17.85,1191.2
Regular Air,5.99,165.71
Express Air,7.18,1277.49
Regular Air,0.49,14.2
Regular Air,3.99,52.21
Regular Air,9.2,170.32
Regular Air,4,203.29
Regular Air,5.99,759.88
Regular Air,5.86,94.2
Regular Air,4.62,34.32
Regular Air,5.02,392.45
Delivery Truck,42,511.25
Regular Air,0.81,29.88
Regular Air,35,599.03
Regular Air,0.99,356.92
Express Air,5.86,136.16
Regular Air,5.4,130.74
Regular Air,4.79,49.87
Regular Air,0.99,24.18
Regular Air,19.99,27587.55
Regular Air,8.65,1191.58
Regular Air,19.99,6938.19
Express Air,58.66,419.27
Regular Air,2,36
Express Air,1.39,11.78
Regular Air,9.03,20.96
Regular Air,5.71,26.66
Regular Air,0.8,29.55
Regular Air,8.8,1237.4
Regular Air,11.51,17.64
Regular Air,0.5,74.23
Regular Air,9.18,627.19
Regular Air,5.81,612.92
Regular Air,4.08,29.08
Delivery Truck,56.14,2569.57
Regular Air,4.95,78.99
Delivery Truck,26.74,1345.33
Regular Air,2.2,15.19
Express Air,4.51,59.49
Regular Air,4.5,57.84
Regular Air,56.2,1425.71
Regular Air,0.5,25.26
Delivery Truck,40.19,736.16
Regular Air,1.99,31.96
Regular Air,1.72,98.17
Regular Air,19.99,264.95
Regular Air,7.44,53.21
Regular Air,7.37,122.8
Regular Air,6.17,282.38
Delivery Truck,23.78,924.8
Regular Air,7.18,821.17
Regular Air,8.78,194.08
Regular Air,1.99,237.77
Regular Air,5.99,316.28
Delivery Truck,64.66,2591.09
Regular Air,12.52,150.24
Delivery Truck,64.66,10364.36
Regular Air,19.99,657.61
Regular Air,5.53,241.97
Regular Air,6.64,120.81
Regular Air,2.27,41.4
Regular Air,2.36,159.53
Regular Air,0.99,536.29
Regular Air,5.74,10.96
Regular Air,24.49,4146.28
Delivery Truck,30,3902.09
Regular Air,1,14.18
Express Air,8.99,2118.99
Regular Air,8.99,837.64
Regular Air,5.99,345.07
Regular Air,6.05,5.48
Delivery Truck,55.3,8201.33
Regular Air,8.19,22.67
Express Air,3.61,393.98
Regular Air,0.7,19.29
Regular Air,0.5,5.21
Regular Air,0.88,22.92
Regular Air,4.17,30.9
Regular Air,4.2,2363.08
Regular Air,8.99,328.45
Regular Air,1.49,386.61
Regular Air,5.14,43.94
Regular Air,0.5,43.31
Regular Air,8.17,284.34
Delivery Truck,28.14,3913.02
Regular Air,19.99,180.14
Regular Air,2.99,364.92
Express Air,0.7,12.16
Express Air,1.25,147.56
Regular Air,2.74,113.68
Regular Air,5.53,281.75
Regular Air,2.87,240.05
Regular Air,4,87.21
Regular Air,2.06,40.15
Regular Air,5.03,90.46
Regular Air,1.99,467.03
Delivery Truck,36.09,608.81
Regular Air,8.99,808.61
Regular Air,10.17,637.37
Delivery Truck,33.6,232.16
Regular Air,2.87,360.03
Regular Air,3.73,260.01
Regular Air,8.99,273.79
Regular Air,13.26,44.62
Regular Air,19.99,268.64
Regular Air,6.02,87.68
Regular Air,7.73,37.62
Regular Air,19.99,832.97
Regular Air,8.99,1042.54
Regular Air,4.71,76.16
Regular Air,24.49,1038.14
Regular Air,24.49,6296
Regular Air,0.96,8.79
Regular Air,19.99,2051.68
Delivery Truck,54.74,5295.03
Regular Air,1.25,80.27
Regular Air,19.99,3292.02
Regular Air,4.81,199.43
Regular Air,2.85,110.71
Regular Air,8.78,56.68
Regular Air,8.74,273.34
Regular Air,8.99,226.88
Regular Air,19.99,5220.48
Regular Air,8.99,113.44
Express Air,13.18,66.02
Regular Air,0.5,33.02
Delivery Truck,29.1,2273.1
Regular Air,0.71,19.49
Regular Air,19.99,5845.81
Regular Air,8.99,633.85
Express Air,1.99,107.51
Express Air,1.99,421.08
Regular Air,6.93,77.2
Delivery Truck,43.32,5587.89
Regular Air,6.89,159.89
Regular Air,0.5,180.48
Regular Air,13.04,350.48
Regular Air,8.59,936.8
Regular Air,8.73,232.5
Regular Air,19.99,7497.05
Express Air,14.48,1336.35
Regular Air,1.99,1724.01
Regular Air,8.73,59.79
Regular Air,8.59,240.21
Regular Air,19.99,1785.01
Express Air,14.48,318.18
Regular Air,6.89,38.89
Regular Air,0.5,45.12
Regular Air,13.04,90.45
Regular Air,69,2125.12
Regular Air,4.7,45.05
Delivery Truck,44.55,7045.02
Regular Air,16.92,370.62
Delivery Truck,30.06,904.25
Regular Air,10.05,16.31
Delivery Truck,89.3,364.26
Regular Air,0.99,16.07
Regular Air,8.99,25.26
Express Air,7.53,581.08
Regular Air,1.92,27.53
Express Air,0.99,32.33
Regular Air,14.3,642.06
Delivery Truck,14.7,1068.6
Regular Air,5.19,99.75
Regular Air,13.99,226.53
Regular Air,2.87,68.65
Regular Air,2.99,236.83
Regular Air,19.99,1944.87
Regular Air,2.36,135.77
Regular Air,19.99,55.43
Regular Air,1.49,20.46
Regular Air,5.86,931.87
Regular Air,0.8,21.41
Regular Air,1.49,59.75
Regular Air,1.39,162.49
Express Air,4.62,819.4
Delivery Truck,42,1809.75
Express Air,5.01,70.03
Regular Air,2.85,102.43
Express Air,5.08,137.76
Regular Air,0.99,326.03
Regular Air,13.89,379.72
Express Air,0.88,48.33
Regular Air,6.5,34.91
Regular Air,4.62,47.04
Regular Air,2.03,10.94
Delivery Truck,16.01,731.38
Regular Air,19.99,344.87
Regular Air,4,523.06
Regular Air,7.69,2424.68
Delivery Truck,14.7,2411.43
Regular Air,0.99,1278.96
Regular Air,0.7,25.22
Regular Air,2.99,34.73
Regular Air,7.47,247.53
Regular Air,0.83,23.89
Regular Air,8.99,454.4
Regular Air,0.7,14.53
Regular Air,0.5,15.65
Regular Air,1.01,111.92
Delivery Truck,35.84,1700.38
Regular Air,7.96,35.96
Regular Air,3.5,141.59
Regular Air,6.26,203.05
Regular Air,3.37,56.19
Regular Air,2.27,40.8
Regular Air,7.78,117.87
Regular Air,0.99,1503.05
Regular Air,6.81,382.33
Delivery Truck,53.03,356.61
Express Air,19.99,1506.89
Regular Air,6.81,92.29
Delivery Truck,53.03,82.29
Regular Air,4.78,203.37
Regular Air,6.47,160.66
Regular Air,5.35,107.08
Regular Air,24.49,9705.46
Regular Air,19.99,3247.54
Regular Air,4.65,5582.63
Regular Air,24.49,2426.36
Regular Air,19.99,824
Regular Air,4.65,1347.53
Regular Air,5.3,11.16
Regular Air,0.7,45.22
Regular Air,4.75,52.93
Regular Air,1.02,75.61
Regular Air,14.37,67.64
Regular Air,7.5,240.42
Regular Air,3.14,184.4
Regular Air,19.99,3802.01
Regular Air,4,1181.67
Regular Air,1.32,29.93
Regular Air,6.46,171.33
Regular Air,5.19,84.04
Delivery Truck,30,251.06
Express Air,24.49,2610.56
Regular Air,2.5,1173.76
Regular Air,1.99,50.28
Regular Air,24.49,2570.45
Regular Air,0.99,158.87
Regular Air,1.34,56.71
Delivery Truck,58.92,5086.08
Delivery Truck,30,1894.45
Regular Air,3.73,200.72
Regular Air,0.83,36.82
Regular Air,6.15,84.6
Delivery Truck,32.18,296.75
Regular Air,7.18,582.2
Regular Air,5.09,171.93
Regular Air,0.7,35.19
Regular Air,7.18,2037.69
Regular Air,5.09,722.1
Regular Air,0.7,140.78
Regular Air,0.7,129.72
Express Air,19.99,12190.98
Delivery Truck,32.18,1483.76
Express Air,1,87.18
Express Air,5.99,798.89
Regular Air,6.05,133.19
Regular Air,9.03,97.33
Express Air,10.25,130.91
Regular Air,19.99,281.82
Regular Air,0.99,991.24
Express Air,7.2,119.86
Express Air,2.83,98.77
Delivery Truck,62.74,2495.35
Express Air,5.1,200.83
Regular Air,5.09,348.08
Express Air,6.96,131.69
Regular Air,0.5,13.93
Regular Air,5,31.71
Regular Air,0.99,60.01
Regular Air,5.9,90.98
Regular Air,4.2,1270.7
Regular Air,0.99,236.87
Regular Air,5.9,370.91
Regular Air,4.2,4976.92
Regular Air,14.72,574.97
Regular Air,6.47,115.22
Express Air,8.99,456.58
Delivery Truck,60,3772.19
Regular Air,19.99,2642.48
Regular Air,6.05,61.5
Regular Air,9.07,1276.88
Delivery Truck,26.3,233.58
Regular Air,2.5,31.98
Delivery Truck,26.2,519.42
Regular Air,3.99,2382.72
Regular Air,8.49,64.96
Regular Air,0.75,19.14
Regular Air,7.78,25.35
Express Air,8.99,45.03
Regular Air,8.99,153.87
Regular Air,8.08,2800.33
Delivery Truck,60.2,3596.03
Regular Air,19.99,2353.55
Express Air,6.89,92.57
Delivery Truck,57,7974.21
Regular Air,8.37,87.1
Express Air,35,736.86
Regular Air,5.41,33.84
Regular Air,6.27,14.9
Express Air,1.93,39.64
Regular Air,11.17,139.49
Delivery Truck,58.95,1952.43
Delivery Truck,46.2,1370.79
Delivery Truck,8.73,3501.79
Regular Air,7.42,63.04
Express Air,5.37,451.35
Regular Air,3.26,119.6
Regular Air,1.49,59.9
Regular Air,8.99,99.22
Express Air,13.99,1183.82
Regular Air,9.47,201.77
Regular Air,8.99,443.66
Regular Air,3.5,541.76
Delivery Truck,14.36,107.66
Regular Air,35,318.83
Regular Air,5.5,3600.65
Delivery Truck,57,3936.61
Regular Air,7.44,78.31
Regular Air,0.83,42.46
Express Air,11.15,14.66
Regular Air,5.47,83.14
Regular Air,6.5,215.25
Delivery Truck,36.61,1358.02
Regular Air,1.39,358.84
Regular Air,10.84,511.57
Regular Air,1,8.65
Regular Air,7.5,380
Delivery Truck,35.89,199.48
Regular Air,4.81,93.81
Regular Air,6.66,312.22
Regular Air,7.54,43.84
Regular Air,8.18,141.74
Delivery Truck,15.59,8717.75
Delivery Truck,15.59,2230.12
Regular Air,0.96,56.4
Regular Air,4,257.52
Express Air,18.06,1488.51
Regular Air,5.09,801.93
Express Air,4.62,44.24
Regular Air,0.49,79.74
Regular Air,2.5,392.45
Regular Air,1.5,48.32
Express Air,1.99,332.16
Regular Air,2.83,147.62
Delivery Truck,30,125.9
Delivery Truck,68.02,768.81
Regular Air,19.99,183.39
Express Air,7.29,12.9
Regular Air,0.94,17.89
Regular Air,1.99,255.88
Regular Air,2.99,378.82
Regular Air,8.99,152.18
Express Air,5.68,53.89
Express Air,5.86,1001.02
Regular Air,5.92,495.82
Regular Air,3.52,24.44
Regular Air,2.04,21.86
Regular Air,1.49,47.12
Regular Air,2.99,670.9
Regular Air,6.26,412.72
Regular Air,5.01,14.52
Regular Air,6.26,103.18
Regular Air,3.61,97.96
Delivery Truck,60,5419.41
Regular Air,8.99,700.41
Regular Air,6.55,646.88
Express Air,24.49,1029.96
Regular Air,11.59,52.09
Delivery Truck,70.2,1794.88
Express Air,4.5,765.04
Regular Air,4.51,127.12
Regular Air,24.49,5183.89
Regular Air,1.2,36.09
Regular Air,35,366.26
Regular Air,5.5,157.99
Regular Air,7.69,1212.88
Regular Air,4.99,125.19
Express Air,19.99,1867.04
Regular Air,1.99,537.8
Express Air,6.15,119.78
Regular Air,1.99,12.15
Regular Air,5.09,288.42
Regular Air,2.99,511.42
Regular Air,5.1,200.64
Regular Air,6.12,17.62
Regular Air,7.04,80.58
Regular Air,54.95,25.31
Regular Air,19.99,369.78
Regular Air,1.34,57.14
Delivery Truck,70.2,498.31
Regular Air,1.49,431.43
Regular Air,3.97,57.24
Express Air,8.99,824.7
Regular Air,8.19,58.5
Regular Air,8.29,131.62
Regular Air,1.99,121.46
Delivery Truck,30,356.14
Regular Air,6.86,27.08
Regular Air,4.69,65.85
Regular Air,1.3,50.71
Regular Air,8.4,45
Regular Air,0.5,19.02
Regular Air,7.95,193.87
Regular Air,4.2,1434.51
Regular Air,11.54,8549.04
Regular Air,11.54,2239.03
Express Air,6.16,22.13
Express Air,4.95,34.17
Regular Air,2.5,94.3
Regular Air,12.14,384.22
Regular Air,4.5,178.68
Express Air,1.56,79.39
Regular Air,1.49,199.53
Regular Air,7.15,37.05
Regular Air,0.5,68.88
Regular Air,9.07,549.85
Express Air,2.38,48.99
Regular Air,4.2,681.42
Regular Air,5.63,66.65
Delivery Truck,30,2934.16
Express Air,5.63,876.88
Regular Air,1.49,157.33
Regular Air,2.15,27.37
Regular Air,4.98,98.16
Regular Air,4.95,116.11
Regular Air,4.95,95
Delivery Truck,33.6,837.57
Regular Air,5.11,56.22
Regular Air,4,758.97
Express Air,0.5,84.44
Regular Air,6.05,29.99
Delivery Truck,29.21,1487.9
Regular Air,12.14,600.4
Regular Air,7.15,34.25
Regular Air,4.17,31.45
Express Air,5.97,249.07
Express Air,1.92,59.22
Regular Air,19.99,5572.18
Regular Air,24.49,2941.42
Regular Air,14.48,522.46
Regular Air,5.81,25.31
Regular Air,1.49,513.33
Express Air,2.03,15.7
Regular Air,8.99,680.65
Regular Air,0.5,28.34
Express Air,8.99,861.3
Regular Air,35,894.64
Regular Air,7.69,710.36
Regular Air,2.5,80.2
Regular Air,19.99,9252.81
Regular Air,7.46,207.31
Regular Air,5.03,143.12
Regular Air,5.81,59.98
Express Air,4.93,135.78
Express Air,13.99,506.5
